country,subnational,subnational2,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020
India,Andaman and Nicobar,Nicobar Islands,0,72679,72679,72679,587,240,502,409,67,230,242,75,62,327,357,37,0,0,,0,0,0,4,44,54
India,Andaman and Nicobar,Nicobar Islands,0,72679,502,46804,587,237,499,394,66,2284,228,74,62,325,355,37,0,0,6,0,0,0,2,40,46
India,Andaman and Nicobar,Nicobar Islands,5,72679,4946,46205,587,236,499,394,66,2283,228,74,6,325,355,37,0,0,6,0,0,0,2,40,45
India,Andaman and Nicobar,Nicobar Islands,20,72679,49054,45955,587,236,499,393,66,2283,228,74,6,325,355,37,0,0,6,0,0,0,2,39,44
India,Andaman and Nicobar,Nicobar Islands,25,72679,48547,45598,587,236,499,392,66,2282,228,74,6,325,355,37,0,0,6,0,0,0,2,39,44
India,Andaman and Nicobar,Nicobar Islands,30,72679,47634,44925,587,236,499,39,66,228,228,74,6,325,354,37,0,0,5,0,0,0,2,39,44
India,Andaman and Nicobar,Nicobar Islands,50,72679,4467,443,587,233,498,389,65,2272,227,74,60,322,352,37,0,0,3,0,0,0,2,37,4
India,Andaman and Nicobar,Nicobar Islands,75,72679,35653,32843,587,23,492,365,62,2206,224,7,52,304,333,36,97,0,9,0,0,0,0,3,34
India,Andaman and Nicobar,North and Middle Andaman,0,340652,340652,340652,2600,8,22,60,85,354,487,350,428,268,200,42,66,87,938,38,88,238,60,70,55
India,Andaman and Nicobar,North and Middle Andaman,0,340652,3379,32908,2600,8,209,59,84,353,487,349,427,268,99,42,554,4,696,37,84,232,58,63,409
India,Andaman and Nicobar,North and Middle Andaman,5,340652,32279,30943,2600,7,209,59,84,352,487,348,426,268,99,42,553,40,688,37,84,232,58,63,406
India,Andaman and Nicobar,North and Middle Andaman,20,340652,3729,30545,2600,7,208,59,84,352,486,348,426,267,99,42,55,38,680,37,84,23,57,63,404
India,Andaman and Nicobar,North and Middle Andaman,25,340652,3350,309476,2600,7,208,59,84,352,486,347,426,267,99,42,550,37,677,37,84,23,57,63,402
India,Andaman and Nicobar,North and Middle Andaman,30,340652,30759,308793,2600,7,208,59,84,352,486,347,426,267,99,42,549,36,670,37,83,23,57,63,400
India,Andaman and Nicobar,North and Middle Andaman,50,340652,307354,302684,2600,6,20,57,84,346,483,34,42,264,97,42,54,29,632,36,82,229,57,6,382
India,Andaman and Nicobar,North and Middle Andaman,75,340652,2939,287344,2600,0,76,48,79,34,464,308,392,245,84,40,5,5,524,34,73,2,50,5,30
India,Andaman and Nicobar,South Andaman,0,247753,247753,247753,658,57,83,8,62,9,4,376,5,249,222,9,54,354,758,40,95,70,46,83,853
India,Andaman and Nicobar,South Andaman,0,247753,227298,22873,658,57,8,80,6,908,3,374,5,248,22,9,42,34,593,36,79,56,39,63,543
India,Andaman and Nicobar,South Andaman,5,247753,226922,227062,658,57,80,80,6,907,3,374,5,248,22,9,42,34,590,36,78,56,39,63,539
India,Andaman and Nicobar,South Andaman,20,247753,226644,226762,658,57,80,80,6,906,3,373,5,247,22,9,42,34,588,36,78,56,39,62,534
India,Andaman and Nicobar,South Andaman,25,247753,226404,226263,658,57,80,80,6,906,3,373,5,247,22,9,42,340,586,36,77,55,38,62,530
India,Andaman and Nicobar,South Andaman,30,247753,226008,225722,658,57,80,80,6,906,3,373,5,247,22,9,42,340,582,36,77,55,38,6,52
India,Andaman and Nicobar,South Andaman,50,247753,223904,22294,658,57,76,80,6,895,3,365,50,245,220,9,4,338,562,36,74,52,36,59,489
India,Andaman and Nicobar,South Andaman,75,247753,265,2379,658,55,65,79,59,850,0,335,46,239,208,9,39,333,503,33,57,40,29,46,358
India,Andhra Pradesh,Anantapur,0,922649,922649,922649,4,,,,,0,,0,0,0,0,3,7,34,6,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,0,922649,2952,83,4,0,0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,5,922649,558,360,4,0,0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,20,922649,230,265,4,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,25,922649,774,78,4,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,30,922649,57,,4,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,50,922649,74,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Anantapur,75,922649,4,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Andhra Pradesh,Chittoor,0,56880,56880,56880,28,76,39,48,54,3,39,52,72,68,8,8,9,299,75,,4,53,93,76,80
India,Andhra Pradesh,Chittoor,0,56880,47252,9890,28,62,26,3,33,2,20,26,38,46,5,56,29,33,7,3,27,2,49,37,25
India,Andhra Pradesh,Chittoor,5,56880,24769,77400,28,62,25,30,3,2,9,24,35,44,5,50,26,26,3,2,26,6,42,26,22
India,Andhra Pradesh,Chittoor,20,56880,2677,7420,28,6,24,29,29,,7,22,32,43,5,46,24,24,,2,24,5,39,23,20
India,Andhra Pradesh,Chittoor,25,56880,45,68764,28,57,22,25,26,,4,8,27,39,4,38,2,2,9,2,22,4,34,20,7
India,Andhra Pradesh,Chittoor,30,56880,883,56859,28,57,2,24,24,,3,7,26,39,4,36,20,2,6,,8,,28,6,3
India,Andhra Pradesh,Chittoor,50,56880,42085,8736,28,44,2,4,4,,6,9,3,27,3,9,,4,2,0,5,5,2,6,6
India,Andhra Pradesh,Chittoor,75,56880,3692,3674,28,34,6,8,7,0,3,4,2,5,0,4,4,0,0,0,0,0,0,0,0
India,Andhra Pradesh,East Godavari,0,75476,75476,75476,537,93,92,228,43,55,608,487,62,923,46,95,59,774,36,90,530,763,263,227,883
India,Andhra Pradesh,East Godavari,0,75476,364388,3437,537,9,88,23,387,486,570,455,995,888,448,24,540,620,952,797,288,476,936,90,700
India,Andhra Pradesh,East Godavari,5,75476,348790,3469,537,90,87,209,383,480,562,449,984,882,446,4,533,599,934,779,243,438,906,877,679
India,Andhra Pradesh,East Godavari,20,75476,34296,309933,537,90,87,205,38,475,555,444,975,878,444,7,529,590,925,772,227,424,892,864,670
India,Andhra Pradesh,East Godavari,25,75476,33569,30494,537,89,85,96,374,467,542,435,960,869,44,93,523,583,98,764,24,42,878,853,662
India,Andhra Pradesh,East Godavari,30,75476,30205,284237,537,89,85,94,372,465,538,432,955,864,439,88,53,547,879,70,34,357,835,808,622
India,Andhra Pradesh,East Godavari,50,75476,27236,2280,537,80,74,5,320,47,452,384,854,799,40,997,474,490,807,629,3,236,753,739,564
India,Andhra Pradesh,East Godavari,75,75476,36977,7873,537,59,29,3,22,326,28,27,554,57,302,639,320,237,406,275,463,640,379,398,285
India,Andhra Pradesh,Guntur,0,4089,4089,4089,2,72,0,94,34,5,54,22,62,87,47,26,62,66,26,2,7,,0,29,68
